CPF;Nome;Nascimento;Idade;Endereço;Cidade;Estado;pontos
100.243.434-23;Maria do Rosario;12/12/2000;24;Avenida Fernando Correa, 24; Cuiabá; MT;15
111.222.333-43;João Carlos ;25/3/1997;26;Rua Tenente Otávio, 343; Várzea Grande;MT;500
098.207.802-17;Sueli Nina Benedita Pires;19/2/1982;42;Rua José Alexandre Damasceno da Silva 836, Antares;Maceió;AL;0
475.194.830-02;Thomas Matheus Drumond;6/3/1958;66;Rua Lídio Dal Col 167, Ataíde;Vila Velha;ES;0
747.843.360-01;Jaqueline Maria Nunes;18/2/2005;19;Rua Otacílio Queiroz 732, Jardim Glória;Limeira;SP;0
393.339.017-60;Ruan Elias Silva;16/1/2004;20;Avenida Sete de Setembro 148, Princesa Isabel;Cacoal;RO;0
671.795.061-76;Andreia Nicole da Luz;4/3/1961;63;Rua Rio Amazonas 217, Jardim dos Migrantes;Ji-Paraná;RO;0
241.893.654-67;Fernanda Marina da Rosa;2/3/1987;37;Praça João Barbirato 860, República;Vitória;ES;0
610.721.285-00;Heitor Raul Oliveira;2/3/1973;51;Rua das Jambeiras 736, Jardim das Itaúbas;Sinop;MT;0
786.740.279-97;Jorge Cauê Santos;15/1/1959;65;Alameda Ingá 943, Condomínio Residencial Florais dos Lagos;Cuiabá;MT;0
460.969.644-43;Alícia Maitê Lopes;27/2/2003;21;Rua Vinhedo 725, Papagaio;Feira de Santana;BA;0
876.079.409-79;Anderson Cauê Lorenzo Assunção;11/1/1989;35;Rua Homero Justino 450, Aeroporto;Mossoró;RN;79
351.197.000-80;Gabriel Anderson Manoel Cavalcanti;1/1/1944;80;Travessa Congonhas 232, Divinópolis;Serra;ES;0
587.083.956-40;Maria Rafaela Lara Duarte;24/1/1947;77;Rua Claro Alves da Silva 208, São Simão;Várzea Grande;MT;0
955.163.668-60;Pedro Vitor Gomes;14/2/1973;51;Rua Tiradentes 647, Dihel;Sapucaia do Sul;RS;1418
