IdVenda;CPF;IdProduto;Quantidade;Unitario;Total
1;100.243.434-23;1;3;3.00;9.00
1;100.243.434-23;3;1;6.00;6.00
2;111.222.333-43;4;1;30.00;30.00
2;111.222.333-43;5;2;5.00;10.00
2;111.222.333-43;6;1;10.00;10.00
3;024.126.327-15;7;500;15.00;7500.00
3;024.126.327-15;3;6;6.00;36.00
3;024.126.327-15;19;3;18.90;56.70
3;024.126.327-15;9;4;30.00;120.00
4;027.028.554-74;3;2;6.00;12.00
4;027.028.554-74;15;1;28.39;28.39
4;027.028.554-74;2;4;50.32;201.28
4;027.028.554-74;22;1;20.00;20.00
4;027.028.554-74;7;12;15.00;180.00
4;027.028.554-74;18;3;59.90;179.70
5;955.163.668-60;4;32;30.00;960.00
5;955.163.668-60;23;2;6.00;12.00
5;955.163.668-60;1;7;3.00;21.00
5;955.163.668-60;23;6;6.00;36.00
5;955.163.668-60;11;15;25.99;389.85
6;733.564.407-05;7;4;15.00;60.00
7;662.620.708-34;8;7;8.00;56.00
7;662.620.708-34;3;5;6.00;30.00
8;876.079.409-79;16;3;7.99;23.97
8;876.079.409-79;12;10;5.00;50.00
8;876.079.409-79;3;1;6.00;6.00
9;323.481.213-60;8;99;8.00;792.00
9;323.481.213-60;21;1000;15.00;15000.00
9;323.481.213-60;12;5;5.00;25.00
9;323.481.213-60;11;50;25.99;1299.50
9;323.481.213-60;23;400;6.00;2400.00
9;323.481.213-60;10;10;35.00;350.00
9;323.481.213-60;17;700;9.99;6993.00
